Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
PFE,2017-02-06,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
FEYE,2017-02-03,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
VSM,2017-02-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
FOXA,2017-02-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2017-02-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2017-02-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WOOF,2017-02-01,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
FOXA,2017-01-31,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-28,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
QCOM,2016-03-22,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
HAL,2016-03-22,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
MA,2016-03-22,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-21,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-18,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-15,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-14,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-11,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-10,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-08,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-07,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-07,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAC,2016-03-04,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
CAB,2016-03-03,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
